SKU,PHOTO,COLECCIÓN,CATEGORÍA,PROPIETARIO,EAN,NOMBRE COMERCIAL,PRODUCTO,COSTE,PVP,FECHA ESTIMADA DE LLEGADA,CANTIDAD PRIMERA LLEGADA,CANTIDAD TOTAL
CR-4,,SPACE AGE,WAGONS,JUAN CARLOS,8435797604131,REX,KID WAGON,"14,18 €","75,00 €",30/03/2026,200,400
CR-6,,GOLDEN COAST,WAGONS,JUAN CARLOS,8435797604155,THEO,WAGON,"19,84 €","99,00 €",30/03/2026,150,350
CR-9,,GOLDEN COAST,WAGONS,JUAN CARLOS,8435797604162,THEO,WAGON,"19,84 €","99,00 €",30/03/2026,150,450
CR-11,,SIN COLECCIÓN,WAGONS,JUAN CARLOS,8435797604179,CHESTER,SEAT WAGON,"30,35 €","149,00 €",30/03/2026,,250
CJ-1,,GOLDEN COAST,PILLOWS,PATRICIA,8435797604742,CAMILLE,ROUND PILLOW,"2,01 €","9,00 €",1/4/2026,504,504
CJ-2,,GOLDEN COAST,PILLOWS,PATRICIA,8435797604759,CAMILLE,ROUND PILLOW,"2,01 €","9,00 €",1/4/2026,504,504
CJ-3,,HOLA OLA,PILLOWS,PATRICIA,8435797604766,BRISDA,ROUND PILLOW,"2,01 €","9,00 €",1/4/2026,504,504
CJ-4,,HOLA OLA,PILLOWS,PATRICIA,8435797604773,BRISDA,ROUND PILLOW,"2,01 €","9,00 €",1/4/2026,504,504
NV-1,,GOLDEN COAST,COOLERS,JUAN CARLOS,8437023888018,ÉLITE,28L COOLER,,,30/03/2026,,2.500
NV-2,,GOLDEN COAST,COOLERS,JUAN CARLOS,8437023888025,ÉLITE,28L COOLER,,,30/03/2026,,2.500
BT-13,,BLOSSOM,TENTS,JUAN CARLOS,8435797604186,FLORY,BEACH TENT,"6,39 €","35,00 €",30/03/2026,200,600
BT-14,,OCEAN HUGS,TENTS,JUAN CARLOS,8435797604193,SHELLY,BEACH TENT,"6,39 €","35,00 €",30/03/2026,200,600
BT-15,,BERRY CREAMLAND,TENTS,JUAN CARLOS,8435797604209,HELLEN,BEACH TENT,"9,97 €","49,00 €",30/03/2026,200,400
BT-16,,SPACE AGE,TENTS,JUAN CARLOS,8435797604216,GALAXY,BEACH TENT,"7,85 €","49,00 €",30/03/2026,200,400
GF-1,,BLOSSOM,SUNGLASSSES,JUAN CARLOS,8435797604599,SUNNY,SUNGLASSES,"4,00 €","19,00 €",29/05/2026,1000,1.000
GF-3,,SPACE AGE,SUNGLASSSES,JUAN CARLOS,8435797604612,GLINTY,SUNGLASSES,"4,00 €","19,00 €",29/05/2026,1000,1.000
GF-4,,BERRY CREAMLAND,SUNGLASSSES,JUAN CARLOS,8435797604629,SWEETHEART,SUNGLASSES,"4,00 €","19,00 €",29/05/2026,1000,1.000
GF-6,,BLOSSOM,DIVING,PATRICIA,8435797604643,MARGOT,DIVING GLASSES,"2,39 €","15,00 €",1/4/2026,1.000,1.000
GF-7,,OCEAN HUGS,DIVING,PATRICIA,8435797604650,NEPTUNE,DIVING GLASSES,"2,39 €","15,00 €",1/4/2026,1.000,1.000
GF-8,,BERRY CREAMLAND,DIVING,PATRICIA,8435797604667,FREDA,DIVING GLASSES,"2,39 €","15,00 €",1/4/2026,1.000,1.000
GF-9,,SPACE AGE,DIVING,PATRICIA,8435797604681,DUQUE,DIVING GLASSES,"2,39 €","15,00 €",1/4/2026,1.000,1.000
J-25,,BLOSSOM,FOAM TOYS,PATRICIA,8435797605152,FLORA,FOAM TOY,"5,84 €","29,00 €",30/03/2026,500,500
J-26,,BLOSSOM,FOAM TOYS,PATRICIA,8435797605169,ROSE,FOAM BOARD,"3,14 €","15,00 €",30/03/2026,500,500
J-27,,OCEAN HUGS,FOAM TOYS,PATRICIA,8435797605176,SALTY,FOAM TOY,"5,84 €","29,00 €",30/03/2026,500,500
J-28,,OCEAN HUGS,FOAM TOYS,PATRICIA,8435797605183,NAUTY,FOAM BOARD,"3,14 €","15,00 €",30/03/2026,500,500
J-29,,BERRY CREAMLAND,FOAM TOYS,PATRICIA,8435797605190,MATILDA,FOAM TOY,"5,84 €","29,00 €",30/03/2026,500,500
J-30,,BERRY CREAMLAND,FOAM TOYS,PATRICIA,8435797605206,LAVENDER,FOAM BOARD,"3,14 €","15,00 €",30/03/2026,500,500
J-31,,BERRY CREAMLAND,FOAM TOYS,PATRICIA,8435797605213,ODETTE,WATER ROCKER,"12,65 €","59,00 €",30/03/2026,500,500
J-32,,SPACE AGE,FOAM TOYS,PATRICIA,8435797605220,ECLIPSE,FOAM TOY,"5,84 €","29,00 €",30/03/2026,500,500
J-33,,SPACE AGE,FOAM TOYS,PATRICIA,8435797605237,LIGHTYEAR,FOAM BOARD,"3,14 €","15,00 €",30/03/2026,500,500
J-34,,SPACE AGE,FOAM TOYS,PATRICIA,8435797605244,PEGASUS,WATER ROCKER,"12,65 €","59,00 €",30/03/2026,500,500
PJ-1,,BLOSSOM,TOYS,PATRICIA,8435797604889,DOTTIE,TOYS SET,"5,05 €","25,00 €",20/03/2026,1.000,1.000
PJ-2,,OCEAN HUGS,TOYS,PATRICIA,8435797604896,CRABBY,TOYS SET,"5,05 €","25,00 €",20/03/2026,1.000,1.000
PJ-4,,BERRY CREAMLAND,TOYS,PATRICIA,8435797604933,TUTTI,POOL TOYS SET,"2,86 €","15,00 €",30/04/2026,1.000,1.000
PJ-6,,SPACE AGE,TOYS,PATRICIA,8435797605008,COSMO,POOL TOYS SET,"2,86 €","15,00 €",30/04/2026,1.000,1.000
J-20,,GOLDEN COAST,TOYS,JUAN CARLOS,8435797605107,ESMASH,BEACH SHOVELS,"4,37 €","25,00 €",29/05/2026,200,200
J-21,,GOLDEN COAST,TOYS,JUAN CARLOS,8435797605114,ESMASH,BEACH SHOVELS,"4,37 €","25,00 €",29/05/2026,200,200
J-24,,SIN COLECCIÓN,TOYS,PATRICIA,8435797605145,KUMBA,FOAM PARCHÍS,"18,27 €","69,00 €",30/03/2026,500,500
GO-1,,BLOSSOM,HATS,PATRICIA,8435797604841,PEONY,HAT,"4,52 €","19,00 €",30/04/2026,500,500
GO-2,,OCEAN HUGS,HATS,PATRICIA,8435797604858,CAPPY,HAT,"4,52 €","19,00 €",30/04/2026,500,500
GO-3,,BERRY CREAMLAND,HATS,PATRICIA,8435797604865,JELLY,HAT,"4,52 €","19,00 €",30/04/2026,500,500
-,,SIN COLECCIÓN,ACCESSORIES,JUAN CARLOS,,NEXO,TABLE,€7.00,"35,00 €",30/03/2026,300,300
-,,SIN COLECCIÓN,ACCESSORIES,JUAN CARLOS,,,WAGON TABLE,"4,41 €","25,00 €",30/03/2026,100,100
CP-06,,SIN COLECCIÓN,ACCESSORIES,JUAN CARLOS,,TERRA,UMBRELLA BASE,€32.21,"119,00 €",,200,200
"CP-01
-
CP-02",,SIN COLECCIÓN,ACCESSORIES,JUAN CARLOS,,LOCKI,UMBRELLA HANGER,,,30/03/2026,2000,2.000
CP-08,,GOLDEN COAST,ACCESSORIES,JUAN CARLOS,,BRIZ,FAN,€1.41,"7,99 €",29/05/2026,1000,1.000
CP-09,,GOLDEN COAST,ACCESSORIES,JUAN CARLOS,,BRIZ,FAN,€1.41,"7,99 €",29/05/2026,1000,1.000
VT-41,,BLOSSOM,TUMBLERS,PATRICIA,8435797605466,CAMILA,BABY TUMBLER,"3,79 €","19,00 €",30/03/2026,300,1.000
VT-42,,OCEAN HUGS,TUMBLERS,PATRICIA,8435797605473,OSSI,BABY TUMBLER,"3,79 €","19,00 €",30/03/2026,300,1.000
VT-43,,BERRY CREAMLAND,TUMBLERS,PATRICIA,8435797604780,LULU,BABY TUMBLER,"3,79 €","19,00 €",30/03/2026,300,1.000
VT-44,,SPACE AGE,TUMBLERS,PATRICIA,8435797604797,TWINKLE,BABY TUMBLER,"3,79 €","19,00 €",30/03/2026,300,1.000
VT-45,,GOLDEN COAST,TUMBLERS,PATRICIA,8435797604803,ONA,BOTTLE,"4,74 €","25,00 €",30/03/2026,300,1.000
VT-46,,GOLDEN COAST,TUMBLERS,PATRICIA,8435797604810,ONA,BOTTLE,"4,74 €","25,00 €",30/03/2026,300,1.000
VT-47,,HOLA OLA,TUMBLERS,PATRICIA,8435797604827,TALIA,BOTTLE,"4,74 €","25,00 €",30/03/2026,300,1.000
VT-48,,HOLA OLA,TUMBLERS,PATRICIA,8435797604834,TALIA,BOTTLE,"4,74 €","25,00 €",30/03/2026,300,1.000
,,J-15,,,,,,,,,,
,,J-16,,,,,,,,,,
,,J-17,?,,,,,,,,,
,,J-18,,,,,,,,,,
,,J-19,,,,,,,,,,
